KO,ENG,JPN
고양어울림누리 어울림미술관,Goyang Eoulim Nuri Eoulim Museum of Art,高陽オウリムヌリ オウリム美術館
드림파크 어울림 1단지 문고,Dream Park Eoulim Complex 1 Bookstore,ドリームパークオウリム1団地文庫
용인시 평생학습관,Yongin City Lifelong Learning Center,龍仁市生涯学習館
여주대학교,Yeoju University,驪州大学校
여주박물관,Yeoju Museum,驪州博物館
경기여주가남교육도서관,Gyeonggi Yeoju Ganam Library of Education,京畿驪州加南教育図書館
연성대학교,Yeonseong University,研成大学校
연세대학교 간호대학원,Yonsei University Graduate School of Nursing,延世大学校看護大学院
연세대학교 삼애캠퍼스,Yonsei University Samae Campus,延世大学校サムエキャンパス
열린문고,Yeollin Library,ヨリン文庫
생각열매 작은도서관,Saenggagyeolmae Small Library,センガクヨルメ小さな図書館
영광공공도서관,Yeonggwang Public Library,霊光公共図書館
화서영광새마을문고,Hwaseo Yeonggwang Saemaeul Bookstore,華西ヨンクァンセマウル文庫
민들레작은도서관,Mindeulle Small Library,ミンドレ小さな図書館
안다미로 작은도서관,Andamiro Small Library,アンダミロ小さな図書館
열림도서관,Yeollim Library,ヨリム図書館
영통1동 새마을문고,Yeongtong 1-dong Saemaeul Bookstore,霊通1洞セマウル文庫
영통2동 새마을문고,Yeongtong 2-dong Saemaeul Bookstore,霊通2洞セマウル文庫
영통체육문화센터,Yeongtong Sports and Culture Center,霊通体育文化センター
영화동새마을문고,Yeonghwa-dong Saemaeul Bookstore,迎華洞セマウル文庫
영화작은도서관,Yeonghwa Small Library,ヨンファ小さな図書館
예당국악박물관,Yedang Korea Traditional Music Museum,イェダン国楽博物館
예촌문고,Yechon Bookstore,イェチョン文庫
오남공룡체험전시관,Onam Dinosaur Exhibition Hall,梧南恐竜体験展示館
오렌지문고,Orenji Bookstore,オレンジ文庫
오산대학교,Osan University,烏山大学校
오산사랑의문고,Osan Sarangui Bookstore,烏山サランウィ文庫
롯데시네마 오산원동,Lotte Cinema Osanwon-dong,ロッテシネマ 烏山園洞
오산시 중앙도서관,Osan Central Library,烏山市中央図書館
오산대학교 도서관,Osan University Library,烏山大学校図書館
오정동행정복지센터아트홀,Ojeong-dong Administrative Welfare Center Art Hall,梧亭洞行政福祉センターアートホール
오포도서관,Opo Library,五浦図書館
오포마을문고,Opomaeul Bookstore,五浦マウル文庫
옹달샘문고,Ongdalsammungo Library,オンダルセム文庫
청학박물관,Cheonghak Museum,チョンハク博物館
안암동 새마을문고,Saemaeul Library Anam Branch,安岩洞セマウル文庫
용신동 열린문고,Yeollinmungo Library Yongsin-dong Branch,ヨンシンドンヨリン文庫
용인대학교,Yong In University,龍仁大学校
용인시박물관,Yongin City Museum,龍仁市博物館
구성도서관,Guseong Library,駒城図書館
용인시립기흥도서관,Yongin City Giheung Library,龍仁市立器興図書館
용인시립동백도서관,Yongin City Dongbaek Library,龍仁市立東栢図書館
모현도서관,Mohyeon Library,慕賢図書館
용인시사랑의집작은도서관,Yongin City Saranguijip Small Library,龍仁市サランウィジプ小さな図書館
수지도서관,Suji Library,水枝図書館
죽전도서관,Jukjeon Library,竹田図書館
흥덕도서관,Heungdeok Library,興徳図書館
고림다온작은도서관,Gorim Daon Small Library,古林タオン小さな図書館
용인중앙도서관,Yongin Central Library,龍仁中央図書館
용인포은아트홀,Yongin Poeun Arthall,龍仁圃隠アートホール
용주사효행박물관,Yongjusa Temple Hyohaeng Museum,龍珠寺孝行博物館
우리마을 작은도서관,Urimaeul Small Library,ウリマウル小さな図書館
우리소망문고,Uri Somang Mungo Bookstore,ウリソマン文庫
우림필유새마을문고,WoolimfillU Saemaeulmungo Library,ウリムピルユセマウル文庫
우만2동새마을문고,Uman 2-dong Saemaeul Bookstore,牛満2洞セマウル文庫
원곡벽산블루밍문고,Wongok Byeoksan Blooming Bookstore,元谷ピョクサンブルーミング文庫
월곶도서관,Wolgot Public Library,月串図書館
월드반도1차아파트문고,Woldeubando 1st Apartment Bookstore,ワールドバンド1次アパート文庫
월드반도2차문고,Woldeubando 2nd Bookstore,ワールドバンド2次文庫
초당하나비도서관,Chodanghanabi Library,チョダンハナビ図書館
상명대학교 박물관,Sangmyung University Museum,祥明大学校博物館
유리섬박물관 맥아트미술관,Glass Island Museum Mac Art Museum,ガラスの島博物館 マックアート美術館
오산시 유엔군 초전기념관,UN Forces First Battle Memorial,烏山市国連軍初戦記念館
유진민속박물관,Yujin Folk Museum,ユジン民俗博物館
율전삼성새마을문고,Yuljeon Samsung Saemaeul Bookstore,ユルジョンサムスンセマウル文庫
은광문고,Eunkwangmungo Library,ウングァン文庫
은성도서관,Eunsung Library,ウンソン図書館
의왕시립글로벌도서관,Uiwang City Global Library,義王市立グローバル図書館
가능동작은도서관,Ganeung-dong Small Library,佳陵洞小さな図書館
의정부2동작은도서관,Uijeongbu 2-dong Small Library,議政府2洞小さな図書館
5.18기념문화회관 민주홀,5.18 Memorial Cultural Center Minju Hall,5.18記念文化会館民主ホール
핑크드림도서관,Pink Dream Library,ピンクドリーム図書館
CGV광주첨단,CGV Gwangju Cheomdan,CGV光州先端
ESR작은도서관,ESR Small Library,ESR小さな図書館
KJB금융박물관,KJB Financial Museum,KJB金融博物館
강변문고,Gangbyeonmungo Library,川辺文庫
개똥벌레어린이도서관,Gaettongbeolle Children's Library,蛍子供図書館
건국작은도서관,Geonguk Small Library,建国小図書館
계림꿈나무도서관,Gyerim Kkumnamu Library,鷄林クムナム図書館
두산위브작은도서관,Doosan We've Small Library,ドゥサンウィーブ小さな図書館
고맙습니다 아리솔작은도서관,Gomapseumnida Arisole Small Library,ありがとうございます。アリソール小さな図書館。
고싸움놀이테마공원전수관,Gossaum Nori Theme Park Training Institution,コジョンノリテーマ公園伝授館
우산동작은도서관,Usandong Small Library,牛山洞小さな図書館
광신대학교 일반대학원,Kwangshin University General Graduate School,光信大学一般大学院
새마을 이동도서관,Saemaul Idong Library,セマウル移動図書館
광주광역시립무등도서관,Gwangju Metropolitan City Municipal Mudeung Library,光州広域市立無等図書館
광주광역시 청소년수련원,Gwangju Metropolitan City Youth Center,光州広域市青少年修練院
광주교육대학교,Gwangju National University of Education,光州教育大学校
광주교육대학교 교육대학원,Gwangju National University of Education Graduate School of Education,光州教育大学校教育大学院
의정부정보도서관,Uijeongbu Information Library,議政府情報図書館
남구문화정보도서관,Namgu Cultural Information Library,南区文化情報図書館
광주대학교 대학원,Gwangju University Graduate School,光州大学大学院
광주광역시문화예술회관소극장,Gwangju Metropolitan City Culture and Arts Center Little Theater,光州広域市文化芸術会館小劇場
광주보건대학교,Gwangju Health University,光州保健大学校
의정부영어도서관,Uijeongbu English Library,議政府英語図書館
광주송정도서관,Gwangju Songjeong Library,光州松亭図書館
광주시립미술관,Gwangju City Museum of Art,光州市立美術館
광주시립민속박물관,Gwangju Folk Museum,光州市立民俗博物館
광주아름다운문고,Gwangju Areumdaunmungo Library,光州美しい文庫
광주여자대학교,Gwangju Women's University,光州女子大学校
광주점자도서관,Gwangju Braille Library,光州点字図書館
광주학생교육문화회관,Gwangju Student Education and Culture Center,光州学生教育文化会館
의정부예술의전당,Uijeongbu Arts Center,議政府芸術の殿堂
국립광주박물관,Gwangju National Museum,国立光州博物館
국윤미술관,Kukyun Art Museum,国潤美術館
궁동예술극장,Gungdong Art Theater,宮東芸術劇場
글마루 작은도서관,Geulmaru Small Library,グルマル小図書館
금호2동 작은도서관,Kumho 2-dong Small Library,錦湖二洞小さな図書館
금호평생교육관,Kumho Lifelong Education Center,錦湖生涯教育館
금호평생교육관 문헌정보과,Kumho Lifelong Education Center Literature Information Division,錦湖生涯教育館文献情報課
기독간호대학교,Christian College of Nursing,キリスト看護大学校
꿈빛도서관,Kkumbit Library,クムビッ図書館
이경순소리박물관,Lee Gyeong Sun Sori Museum,イギョンスン音の博物館
남부대학,Nambu University,南部大学
다솜울작은도서관,Dasomul Small Library,ダソムウル小さな図書館
대주파크빌작은도서관,Daeju Parkville Small Library,テジュパークビル小さな図書館
도산동문고,Dosandongmungo Library,陶山東文庫
동강대학교,Dongkang College,東江大学校
이레문고,Ire Bookstore,イレ文庫
동림동작은도서관,Donglimdong Small Library,東林洞小さな図書館
동문작은도서관문고,Dongmun Small Library Mungo,東門小図書館文庫
동산중앙작은도서관,Dongsan Jungang Small Library,東山中央小図書館
