KO,ENG,JPN
대구평화시장닭똥집골목,Daegu Pyeonghwa Market Chicken Dungjip Alley,大邱平和市場砂肝路地
대백프라자갤러리,Daebaek Plaza Gallery,大白プラザギャラリー
대구메트로아트센터,Daegu Metro Art Center,大邱メトロアートセンター
박물관 수,Su Museum,博物館の数
봉산문화거리,Bongsan Cultural Street,鳳山文化通り
두산미소도서관,Dusan Miso Library,斗山微笑図書館
성광우방타운 주민도서실,Seonggwang Friendship Town Community Library,ソングァンウバンタウン住民図書室
수성아트피아,Suseong Artpia,水性アートピア
아트팩토리청춘,Art Factory Cheongchun,アートファクトリー青春
아회 아트홀,Ahoe Art Hall,阿会アートホール
옹기종기행복마을,Huddled Happiness Village,オンギジョンギ幸福村
경일여자고등학교우봉아트홀,Kyungil Girls' High School Woobong Art Hall,キョンイル女子高校ウボンアートホール
중구청교양정보실,Jung-gu Office of Education and Culture Information Office,中区役所教養情報室
천성지혜의자리도서관,Library of Natural Wisdom,天性知恵の座図書館
화진금봉타운문고,Hwajin Geumbong Town Bookstore,花津金峰タウン文庫
보름산미술관,Boreumsan Mus. of Art,ボルムサン美術館
에버랜드 스피드웨이,Everland Speedway,エバーランド·スピードウェイ
광산문화예술회관,Gwangsan Culture and Art Center,光山文化芸術会館
광주광역시립산수도서관,"Gwangju Municipal Library, Sanju Location",光州広域市立山水図書館
광주역사민속박물관,Gwangju Museum of History and Folklore,光州歴史民俗博物館
무등현대미술관,Mudeung Museum of Contemporary Art,無等現代美術館
미래작은문고,The Future Bookstore,未来小さな文庫
상록도서관,Evergreen Library,常緑図書館
예꿈문고,Ye-Dream Bookstore,イェクム文庫
주안문고,Juan Bookstore,朱安文庫
중흥도서관,Jungheung Library,中興図書館
첨단도서관,a high-tech library,先端図書館
뮤직빌리지,Music Village,ミュージックビレッジ
갤러리 MOA,Gallery MOA,ギャラリーMOA
갤러리 더화,Gallery Thehwa,ギャラリー·ザ·ファ
경기도미술관,Gyeonggi Museum of Modern Art,京畿道美術館
경기도박물관,Gyeonggi-do Museum,京畿道博物館
판교경기문화창조허브,Pangyo Gyeonggi Culture Creation Hub,板橋京畿文化創造ハブ
고색뉴지엄,Gosaek Newseum,古索ニュージアム
고양꽃전시관,Goyang Flower Exhibition Center,高陽花展示館
고양문화원,Goyang Cultural Center,高陽文化院
일산호수공원선인장전시관,Ilsan Lake Park Cactus Exhibition Hall,一山湖水公園サボテン展示館
고양시 문예회관,Goyang City Culture and Art Center,高陽市文芸会館
몽골문화촌,Mongolia Cultural Town,モンゴル文化村
성남시근로자종합복지관,Seongnam City (SNC) Labor Welfare Center,城南市勤労者総合福祉館
송산배수지테니스장,Songsan Reservoir Tennis Court,ソンサンベスジテニスコート
수원월드컵경기장,Suwon World Cup Stadium,水原ワールドカップ競技場
더쉼,The Shim,ザ·休憩
가천박물관,Gacheon Museum,嘉泉博物館
강화문예회관,Ganghwa Culture and Art Center,江華文芸会館
강화문화원,Ganghwa Cultural Center,江華文化院
서운체육공원,Seoun Sports Park,瑞雲体育公園
인천계양체육관,Incheon Gyeyang Gymnasium,仁川桂陽体育館
계양문화회관,Gyeyang Cultural Center,桂陽文化会館
대현산체육관,Daehyeonsan Gymnasium,大峴山体育館
가회민화박물관,Gahoe Folk Painting Museum,嘉会民画博物館
간송미술관,Kansong Museum of Art,澗松美術館
강남문화원,Gangnam Cultural Center,江南文化院
강동선사문화축제,Gangdong Pre-historic Culture Festival,江東先史文化祭
강동아트센터,Gangdong Art Center,江東アートセンター
갤러리 마노,Gallery Mano,ギャラリーマノ
갤러리 구루지,Gallery Guruji,ギャラリーグルジ
갤러리도올,Gallery Doll,ギャラリードオル
갤러리 라메르,Gallery La Mer,ギャラリーラメール
갤러리 룩스,Gallery Looks,ギャラリールックス
갤러리미,Gallery Me,ギャラリーミー
갤러리서림,Gallery Surim,ギャラリーソリム
갤러리 스케이프,Gallery Skape,ギャラリースケープ
갤러리 스클로,Gallery Sklo,ギャラリースクロー
아트사이드 갤러리,Artside Gallery,アートサイドギャラリー
갤러리 인데코,Gallery Indeco,ギャラリーインデコ
갤러리 정,Gallery Jung,ギャラリーチョン
갤러리 피치,Gallery Peach,ギャラリーピチ
겸재정선미술관,Gyeomjeongseon Museum of Art,謙斎鄭ゼン美術館
경인미술관,Gyeongin Museum of Art,京仁美術館
고당기념관,Godang Memorial Hall,古堂記念館
고척스카이돔,Gocheok Sky Dome,高尺スカイドーム
대한민국향토식문화대전,Korea Native Food Culture Festival,大韓民国郷土食文化大展
명동난타극장,Myeongdong Nanta Theater,明洞ナンタ劇場
불암산스포츠타운,Bulamsan Sports Town,仏岩山スポーツタウン
