KO,ENG,JPN
김기서강학당,Kim Ki-seo Lecture Hall,キム·ギソ 講学堂
나들목가족공원,Nadeulmok Family Park,ナドゥルモク家族公園
낙덕정,Nakdeokjeong Pavilion,樂徳亭
남문안당산,Nammunan Dangsan Shrine,南門アン堂山
남복리오층석탑,Five-story Stone Pagoda in Nambok-ri,南福利五重石塔
달오름마을,Dalorum Village,タルオルムマウル
남원 만복사지,Namwon Manboksa Temple Site,南原万福寺址
남원사,Namwonsa Temple,南原寺
남원성,Namwonseong Fortress,南原城
남원실상사석장승,Stone Guardian Post of Namwon Silsangsa Temple,南原実相寺石ジャンスン
남원자연휴양림,Namwon Recreational Forest,南原自然休養林
남원 진기리 느티나무,Namwon Saw-leaf Zelkova of Jingi-ri,南原真基里ケヤキ
남원 흥부마을,Namwon Heungbu Village,南原フンブマウル
남중동 오층 석탑,Five-story Stone Pagoda at Namjungdong,南中洞五層石塔
내도리강변유원지,Naedori Riverside Recreation Area,内島里河辺遊園地
내송마을,Naesong Village,ネソンマウル
내장사,Naejangsa Temple,内蔵寺
내장산 국립공원케이블카,Naejangsan National Park Cable Car,内蔵山国立公園ケーブルカー
내장산수목원,Naejangsan Arboretum,内蔵山樹木園
노치마을,Nochi Village,ノチ村
의암사,Uiamsa Shrine,義岩祠
다천사,Dacheonsa Temple,茶泉寺
달궁계곡,Dalgung Valley,達宮渓谷
대곡리암각화,Petroglyphs of Daegok-ri,大谷岩刻画
대둔산도립공원,Daedunsan Provincial Park,大芚山道立公園
대둔산케이블카,Daedunsan Cable Car,大芚山ケーブルカー
대모암,Daemoam Hermitage,大母庵
대복사,Daeboksa Temple,大福寺
대아수목원,Daea Arboretum,大雅樹木園
대항어촌계대항갯벌체험장,Daehang Fishing Village Daehang Tidal Flat Experience,対抗漁村係対抗干潟体験場
덕유산자연휴양림,Deogyusan Recreational Forest,徳裕山自然休養林
둔산공원,Dunsan Park,芚山公園
마애여래좌상,Seated Rock-carved Buddha,磨崖如来坐像
만석보유적지,Historic Site of Man Seok Bo,満席洑遺跡地
만일사,Manilsa Temple,万日寺
말순농장,Malsoon Farm,マルスン農場
망부상과 정읍사,Mangbusang and Jeongeupsa,望夫像と井邑寺
명성농원,Myeongseong Farm,ミョンソン農園
모항갯벌체험장,Mohang Tidal Flat Experience Center,茅項干潟体験場
모항어촌체험마을,Mohang Fishing Village,茅項漁村体験村
몽돌해수욕장,Mongdol Pebble Beach,モンドル海水浴場
무녀도,Munyeodo Island,巫女島
무장현 관아,Mujang-hyeon Government Office,茂長県官衙
발산리 석등,Balsan-ri Stone Lantern,鉢山里石灯
비응 마파지길,Bieung Mapaji Trail,飛鷹マパジギル
새만금 광역탐방로,Saemangeum Regional Trail,セマングム広域探訪路
서도역 간이역,Seodo Station Simplified Station,書道駅簡易駅
선운산도립공원,Seonunsan Provincial Park,禅雲山道立公園
완주 에코 어드벤처,Wanju Eco Adventure,完州エコ・アドベンチャー
익산 공룡테마공원,Iksan Dinosaur Theme Park,益山恐竜テーマ公園
전주경기전,Jeonju Gyeonggijeon Shrine,全州慶基殿
청연루,Cheongyeonnu Pavilion,晴烟楼
추어마을,Chueo Village,チュオマウル
하전 어촌체험마을,Hajeon Fishing Village,下田漁村体験村
